2025-03-04 10:01:16.439 [info] Starting Python Locator /home/kraoshin/.vscode-server/extensions/ms-python.python-2025.0.0-linux-x64/python-env-tools/bin/pet server
2025-03-04 10:01:16.464 [info] Discovered env: /home/kraoshin/venv/bin/python
2025-03-04 10:01:16.472 [info] Discovered env: /usr/bin/python3
2025-03-04 10:01:16.473 [info] Discovered env: /bin/python3
2025-03-04 10:01:16.475 [info] Discovered env: /home/kraoshin/holbertonschool-hbnb/bin/python
2025-03-04 10:01:16.475 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/venv/bin/python
2025-03-04 10:01:21.886 [info] Locator Conda took 3.449415957s
2025-03-04 10:01:21.886 [info] Locator Homebrew took 489.202µs
2025-03-04 10:01:21.886 [info] Locator LinuxGlobal took 48.490417ms
2025-03-04 10:01:21.886 [info] Locator PipEnv took 217.665µs
2025-03-04 10:01:21.886 [info] Locator Poetry took 20.14117ms
2025-03-04 10:01:21.886 [info] Locator PyEnv took 20.644561ms
2025-03-04 10:01:21.886 [info] Locator Venv took 44.578µs
2025-03-04 10:01:21.886 [info] Locator VirtualEnv took 14.832µs
2025-03-04 10:01:21.886 [info] Locator VirtualEnvWrapper took 48.049µs
2025-03-04 10:01:21.886 [info] Locator GlobalVirtualEnvs took 1.000803ms
2025-03-04 10:01:21.886 [info] Locator Locators took 3.449796515s
2025-03-04 10:01:21.886 [info] Locator Path took 252.36023ms
2025-03-04 10:01:21.886 [info] Locator Workspaces took 122.343891ms
2025-03-04 10:01:21.886 [info] Refresh completed in 3449ms
2025-03-04 10:31:43.299 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/venv/bin/python
2025-03-04 10:32:33.470 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/venv/bin/python
2025-03-04 10:41:23.494 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/venv/bin/python
2025-03-04 10:45:27.808 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/venv/bin/python
2025-03-04 10:47:13.308 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/venv/bin/python
2025-03-04 10:53:47.226 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/venv/bin/python
2025-03-04 10:57:36.222 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/venv/bin/python
