2025-03-11 12:19:28.769 [info] Starting Python Locator /home/kraoshin/.vscode-server/extensions/ms-python.python-2025.2.0-linux-x64/python-env-tools/bin/pet server
2025-03-11 12:19:29.595 [info] Discovered env: /usr/bin/python3
2025-03-11 12:19:29.623 [info] Discovered env: /bin/python3
2025-03-11 12:19:29.871 [info] Discovered env: /home/kraoshin/.venv/bin/python
2025-03-11 12:19:30.020 [info] Discovered env: /home/kraoshin/venv/bin/python
2025-03-11 12:19:30.546 [info] Discovered env: /home/kraoshin/holbertonschool-hbnb/bin/python
2025-03-11 12:19:31.404 [info] Resolved Python Environment /bin/python3
2025-03-11 12:19:31.943 [info] Locator Conda took 3.251281902s
2025-03-11 12:19:32.027 [info] Locator Homebrew took 45.054µs
2025-03-11 12:19:32.040 [info] Locator LinuxGlobal took 50.182908ms
2025-03-11 12:19:32.065 [info] Locator PipEnv took 23.423µs
2025-03-11 12:19:32.071 [info] Locator Pixi took 20.518µs
2025-03-11 12:19:32.077 [info] Locator Poetry took 25.604254ms
2025-03-11 12:19:32.080 [info] Locator PyEnv took 21.562165ms
2025-03-11 12:19:32.086 [info] Locator Venv took 96.5µs
2025-03-11 12:19:32.251 [info] Locator VirtualEnv took 12.693µs
2025-03-11 12:19:32.959 [info] Locator VirtualEnvWrapper took 89.877µs
2025-03-11 12:19:33.094 [info] Locator GlobalVirtualEnvs took 877.386µs
2025-03-11 12:19:33.121 [info] Locator Locators took 3.251734236s
2025-03-11 12:19:33.129 [info] Locator Path took 323.832258ms
2025-03-11 12:19:33.192 [info] Locator Workspaces took 230.210428ms
2025-03-11 12:19:33.218 [info] Refresh completed in 3251ms
2025-03-11 12:20:36.331 [info] Resolved Python Environment /bin/python3
2025-03-11 12:21:41.368 [info] Resolved Python Environment /bin/python3
2025-03-11 12:23:01.525 [info] Resolved Python Environment /bin/python3
2025-03-11 12:23:33.866 [info] Resolved Python Environment /bin/python3
2025-03-11 12:31:31.334 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/venv/bin/python
2025-03-11 12:31:31.386 [info] Resolved Python Environment /bin/python3
2025-03-11 12:32:19.514 [info] Resolved Python Environment /bin/python3
2025-03-11 12:35:31.334 [info] Resolved Python Environment /bin/python3
2025-03-11 12:36:04.314 [info] Resolved Python Environment /bin/python3
2025-03-11 12:37:31.310 [info] Resolved Python Environment /bin/python3
2025-03-11 12:38:03.056 [info] Resolved Python Environment /bin/python3
2025-03-11 12:38:40.030 [info] Resolved Python Environment /bin/python3
2025-03-11 12:39:10.744 [info] Resolved Python Environment /bin/python3
2025-03-11 12:39:52.180 [info] Resolved Python Environment /bin/python3
2025-03-11 12:40:26.400 [info] Resolved Python Environment /bin/python3
2025-03-11 12:41:09.770 [info] Resolved Python Environment /bin/python3
2025-03-11 12:41:54.402 [info] Resolved Python Environment /bin/python3
2025-03-11 12:43:31.388 [info] Resolved Python Environment /bin/python3
2025-03-11 12:44:02.185 [info] Resolved Python Environment /bin/python3
2025-03-11 12:45:02.832 [info] Resolved Python Environment /bin/python3
