2025-03-13 15:26:51.595 [info] Starting Python Locator /home/kraoshin/.vscode-server/extensions/ms-python.python-2025.2.0-linux-x64/python-env-tools/bin/pet server
2025-03-13 15:26:52.108 [info] Discovered env: /bin/python3
2025-03-13 15:26:52.153 [info] Discovered env: /usr/bin/python3
2025-03-13 15:26:52.248 [info] Discovered env: /home/kraoshin/.venv/bin/python
2025-03-13 15:26:52.329 [info] Discovered env: /home/kraoshin/venv/bin/python
2025-03-13 15:26:52.837 [info] Discovered env: /home/kraoshin/holbertonschool-hbnb/bin/python
2025-03-13 15:26:53.928 [info] Resolved Python Environment /bin/python3
2025-03-13 15:26:55.731 [info] Locator Conda took 5.101701107s
2025-03-13 15:26:55.766 [info] Locator Homebrew took 176.351µs
2025-03-13 15:26:55.816 [info] Locator LinuxGlobal took 59.181606ms
2025-03-13 15:26:55.823 [info] Locator PipEnv took 19.399µs
2025-03-13 15:26:55.835 [info] Locator Pixi took 168.808µs
2025-03-13 15:26:55.840 [info] Locator Poetry took 31.013956ms
2025-03-13 15:26:55.856 [info] Locator PyEnv took 31.835986ms
2025-03-13 15:26:55.859 [info] Locator Venv took 12.565µs
2025-03-13 15:26:55.863 [info] Locator VirtualEnv took 11.856µs
2025-03-13 15:26:55.863 [info] Locator VirtualEnvWrapper took 16.721µs
2025-03-13 15:26:55.863 [info] Locator GlobalVirtualEnvs took 783.884µs
2025-03-13 15:26:55.872 [info] Locator Locators took 5.102434055s
2025-03-13 15:26:55.875 [info] Locator Path took 345.066625ms
2025-03-13 15:26:55.876 [info] Locator Workspaces took 239.79209ms
2025-03-13 15:26:55.881 [info] Refresh completed in 5102ms
2025-03-13 15:28:50.978 [info] Resolved Python Environment /bin/python3
2025-03-13 15:30:36.906 [info] Resolved Python Environment /bin/python3
2025-03-13 15:31:20.971 [info] Resolved Python Environment /bin/python3
2025-03-13 15:34:09.254 [info] Resolved Python Environment /bin/python3
2025-03-13 15:35:16.747 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/bin/python
2025-03-13 15:35:16.965 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/bin/python
2025-03-13 15:35:17.020 [info] Resolved Python Environment /bin/python3
2025-03-13 15:35:17.495 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/venv/bin/python
2025-03-13 15:35:17.518 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part3/.venv/bin/python
2025-03-13 15:39:06.509 [info] Resolved Python Environment /bin/python3
2025-03-13 15:41:16.451 [info] Resolved Python Environment /bin/python3
2025-03-13 15:42:10.010 [info] Resolved Python Environment /bin/python3
2025-03-13 15:43:21.420 [info] Resolved Python Environment /bin/python3
2025-03-13 15:43:58.745 [info] Resolved Python Environment /bin/python3
2025-03-13 15:45:13.777 [info] Resolved Python Environment /bin/python3
2025-03-13 15:45:48.285 [info] Resolved Python Environment /bin/python3
2025-03-13 15:46:20.776 [info] Resolved Python Environment /bin/python3
2025-03-13 15:46:52.106 [info] Resolved Python Environment /bin/python3
2025-03-13 15:47:49.919 [info] Resolved Python Environment /bin/python3
2025-03-13 15:47:54.228 [info] Resolved Python Environment /home/kraoshin/bin/python
2025-03-13 15:47:54.606 [info] Resolved Python Environment /home/kraoshin/part2/bin/python
2025-03-13 15:47:55.157 [info] Resolved Python Environment /home/kraoshin/part2/venv/bin/python
2025-03-13 15:47:56.008 [info] Resolved Python Environment /home/kraoshin/part3/.venv/bin/python
2025-03-13 15:48:50.768 [info] Resolved Python Environment /bin/python3
